EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
3 WAY CLEANING LIMITED,"Unit 7, Capstan Centre,
Thurrock Park Way,
Tilbury,
Essex,
RM18 7HH",03457928,81210,4.30,4.30,0.00,0.00,0.00,0.00,45.20,54.80,39.40,60.60,24.60,75.40,41.70,58.30,,Anthony Webb (Director),250 to 499,3 WAY CLEANING LIMITED,False
ABACUS HOTELS LIMITED,"White Lion House,
20 Station Street,
Swaffham,
Norfolk,
United Kingdom,
PE37 7LH",03101431,55100,37.80,3.50,-6.60,-10.20,19.20,16.20,45.30,54.70,33.30,66.70,52.80,47.20,49.10,50.90,,Judy Darking (Group Accounts Manager),250 to 499,ABACUS HOTELS LIMITED,False
ACEGOLD LIMITED,"Norcliffe House, Station Road,
Wilmslow,
SK9 1BU",03484784,86900,-5.10,2.00,0.00,0.00,0.00,0.00,16.00,84.00,12.30,87.70,16.00,84.00,19.80,80.20,https://www.brighterkind.com/gender-pay-gap,Jeremy Richardson (CEO),250 to 499,ACEGOLD LIMITED,False
ADDITIONS (U.K.) LIMITED,"Coach House Huxley Street, Broadheath,
Altrincham,
England,
WA14 5EY",01945425,78200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,,Bernadette Coxon (Accounts),500 to 999,ADDITIONS (U.K.) LIMITED,False
ADECCO UK LIMITED,"Millennium Bridge House,
2 Lambeth Hill,
London,
United Kingdom,
EC4V 4BG",00593232,78200,-7.80,-3.20,-84.00,-67.00,4.70,12.90,62.60,37.40,54.00,46.00,54.60,45.40,53.50,46.50,https://www.adecco.co.uk/gender-pay-gap,Richard Thompson (Regional Head of Human Resources),"5000 to 19,999",ADECCO UK LIMITED,False
ALLIANCE CARE (DALES HOMES) LIMITED,"Norcliffe House,
Station Road,
Wilmslow,
United Kingdom,
SK9 1BU",03691542,86900,-0.80,0.30,0.00,0.00,0.00,0.00,21.00,79.00,21.50,78.50,18.80,81.20,23.90,76.10,https://www.brighterkind.com/gender-pay-gap,Jeremy Richardson (CEO),250 to 499,ALLIANCE CARE (DALES HOMES) LIMITED,False
ALLIANCE CLEANING LIMITED,"Unit 5, Waterways Business Centre,
South Ordnance Road,
Enfield,
Middlesex,
EN3 6JG",03596969,81299,2.00,0.00,60.00,60.00,0.50,0.30,69.00,31.00,28.00,72.00,65.00,35.00,45.00,55.00,,Annette Day (Finance Manager),500 to 999,ALLIANCE CLEANING LIMITED,False
AMBITIONS PERSONNEL LIMITED,"18, Northgate,
Sleaford,
Lincolnshire,
NG34 7BJ",02684652,"78109,
78200",2.20,-2.10,-13.00,12.10,50.00,63.00,65.90,34.10,64.90,35.10,65.50,34.50,66.00,34.00,,Amanda Watson (Director),1000 to 4999,AMBITIONS PERSONNEL LIMITED,False
AMVALE MEDICAL TRANSPORT LIMITED,"Unit 1, C/D South Park Industrial Estate,
Birkdale Road,
Scunthorpe,
North Lincolnshire,
DN17 2AU",04502825,82990,7.00,0.00,0.00,0.00,0.00,0.00,51.70,48.30,42.90,57.10,55.10,44.90,68.60,31.40,http://www.amvalemedical.co.uk/gender-pay/5426657,Mike Godfrey (CEO),250 to 499,AMVALE MEDICAL TRANSPORT LIMITED,False
ARICENT TECHNOLOGIES UK LIMITED,"6th, Floor One London Wall,
London,
EC2Y 5EB",06140181,62020,7.00,3.00,23.00,24.00,16.00,15.00,76.50,23.50,89.60,10.40,89.80,10.20,93.90,6.10,,Nick Willey (AVP Aricent Europe & Director),Less than 250,ARICENT TECHNOLOGIES UK LIMITED,False
ASPIRATIONS CARE LIMITED,"5a Hare Lane,
Gloucester,
United Kingdom,
GL1 2BA",05110576,86900,-0.50,0.50,94.00,0.00,1.60,1.00,32.00,68.00,33.00,67.00,32.00,68.00,34.00,66.00,http://www.aspirationscare.com/gender-pay-gap-report;,Christine Cameron (CEO),500 to 999,ASPIRATIONS CARE LIMITED,False
AUTISM AT KINGWOOD,"Unit 2, Chalfont Court,
Lower Early,
Reading,
Berkshire,
RG6 5SY",02980543,87900,-11.80,-0.10,0.00,0.00,0.00,0.00,56.90,43.10,45.00,55.00,31.00,69.00,31.00,69.00,http://www.kingwood.org.uk/autism-at-kingwood-gender-pay-gap-report/,Kate Allen (Chief Executive),250 to 499,AUTISM AT KINGWOOD,False
BANCTEC LIMITED,"Baronsmede,
The Avenue,
Egham,
England,
TW20 9AB",01283512,62012,49.30,36.80,78.90,48.90,15.10,17.70,29.70,70.30,31.80,68.20,48.20,51.80,74.80,25.20,http://www.sourcehov.com/uk/,Kim Morton (Director HR),250 to 499,BANCTEC LIMITED,False
BEAP RESTAURANTS LIMITED,"Mcdonalds, 291-293 High Street,
Orpington,
Kent,
England,
BR6 0NN",05763747,56102,4.50,0.00,34.00,83.00,9.00,2.00,59.00,41.00,45.00,55.00,25.00,75.00,61.00,39.00,,KYLE PERERA (HR Manager),500 to 999,BEAP RESTAURANTS LIMITED,False
BEW ELECTRICAL DISTRIBUTORS LIMITED,"Unit 5, Northumberland Court,
Dukes Park Industrial Estate,
Chelmsford,
Essex,
England,
CM2 6UW",01703444,46900,4.80,-3.50,-15.40,-25.00,53.60,16.20,87.00,13.00,88.40,11.60,84.10,15.90,87.00,13.00,https://www.bewdirect.co.uk/custom/upload/PDF/GENDER%20PAY%20GAP%20FY17%20%20FY18%20final%20with%20BEW%20logo.pdf,Neil Godfrey (Finance Director),250 to 499,BEW ELECTRICAL DISTRIBUTORS LIMITED,False
Black Country Partnership NHS Foundation Trust,"Greets Green Rd,
West Bromwich,
West Midlands,
B70 9PL",,1,11.40,3.40,0.00,0.00,0.00,0.00,21.00,79.00,23.00,77.00,21.10,78.90,27.30,72.70,http://www.bcpft.nhs.uk/about-us/equality-and-diversity,,1000 to 4999,Black Country Partnership NHS Foundation Trust,False
BLACK SWAN INTERNATIONAL LIMITED,"The Union Building, 51-59 Rose Lane,
Norwich,
England,
NR1 1BY",02621410,87300,19.40,4.80,85.90,97.10,6.20,3.10,24.50,75.50,6.10,93.90,17.70,82.30,28.60,71.40,http://www.blackswan.co.uk/equality/,Tom Lyons (Managing Director),500 to 999,BLACK SWAN INTERNATIONAL LIMITED,False
BLUE MANCHESTER LIMITED,"6th Floor Charles House,
108-110 Finchley Road,
London,
United Kingdom,
NW3 5JJ",07408603,55100,7.20,11.00,24.00,37.40,5.20,6.50,51.00,49.00,43.00,57.00,72.00,28.00,64.00,36.00,,Chris Christou (Director),Less than 250,BLUE MANCHESTER LIMITED,False
BOULTING GROUP LIMITED,"Boulting House, Firecrest Court,
Centre Park,
Warrington,
Cheshire,
United Kingdom,
WA1 1RG",02950900,"27120,
43210",42.00,46.00,0.00,0.00,0.00,0.00,38.00,62.00,91.00,9.00,95.00,5.00,97.00,3.00,https://www.boulting.co.uk/about-us/gender-pay-gap,Ian Humphries (Managing Director),500 to 999,BOULTING GROUP LIMITED,False
Bsw Heating Ltd,"3 Old Barn Lane,
Kenley,
Surrey,
United Kingdom,
CR8 5AT",01047746,43220,35.40,50.60,74.20,65.80,2.40,2.20,33.30,66.70,31.40,68.60,89.80,10.20,90.70,9.30,,Guy Belierre (Managing Director),250 to 499,Bsw Heating Ltd,False
CALSONIC KANSEI SUNDERLAND LIMITED,"COMPANY SECRETARY,
Calsonic Kansei Sunderland Ltd,
Llethri Road,
Llanelli,
Dyfed,
United Kingdom,
SA14 8HU",00981301,29320,3.60,0.00,100.00,100.00,1.00,0.00,85.10,14.90,91.80,8.20,94.60,5.40,93.20,6.80,,Sian Phillips (Section Leader - HR),250 to 499,CALSONIC KANSEI SUNDERLAND LIMITED,False
CALSONIC KANSEI UK LIMITED,"Llethri Road,
Llanelli,
Dyfed,
United Kingdom,
SA14 8HU",02147831,29320,3.60,0.00,27.40,-3.50,5.20,2.20,84.90,15.10,81.80,18.20,85.60,14.40,87.30,12.70,,Sian Phillips (Section Leader - HR),1000 to 4999,CALSONIC KANSEI UK LIMITED,False
CARD PROTECTION PLAN LIMITED,"Holgate Park,
York,
United Kingdom,
YO26 4GA",01490503,65120,18.30,21.70,19.20,28.60,30.10,36.90,35.50,64.50,58.10,41.90,64.50,35.50,59.00,41.00,https://international.cppgroup.com/wp-content/uploads/media/documents/Gender-pay-report.pdf,Jason Walsh (Group CEO),250 to 499,CARD PROTECTION PLAN LIMITED,False
CARDINAL SECURITY LIMITED,"Cartwrights,
33 Wood Street,
Barnet,
Hertfordshire,
England,
EN5 4BE",04714467,80100,-11.00,-4.00,0.00,0.00,0.00,0.00,96.00,4.00,98.00,2.00,95.00,5.00,90.00,10.00,,Natalie Clack (Central Services Director),500 to 999,CARDINAL SECURITY LIMITED,False
Cartwright Holdings Ltd,"KAY JOHNSON GEE LLP,
2nd Floor 1 City Road East,
Manchester,
England,
M15 4PN",09502136,29202,25.00,10.00,63.00,57.00,2.00,2.00,89.00,11.00,95.00,5.00,96.00,4.00,95.00,5.00,http://www.cartwright-group.co.uk/about-us/gender-pay/,Mark Cartwright (Group Managing Director),500 to 999,Cartwright Holdings Ltd,False
CCM FACILITIES LTD,"Trident House Lower Ground Floor, 46 - 48 Webber Street,
London,
SE1 8QW",02498745,81210,9.30,0.30,44.60,20.30,2.20,1.50,45.50,54.50,41.80,58.20,43.50,56.50,51.00,49.00,,Suzanne Scott (Finance Director),500 to 999,CCM FACILITIES LTD,False
