EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
GLAMORGAN RETAIL LIMITED,"Bank House Studios Office 3, Warwick Street, Prestwich,
Manchester,
Lancashire,
England,
M25 3HN",06714996,56103,14.20,22.90,60.10,0.00,15.40,13.60,54.40,45.60,71.90,28.10,96.50,3.50,73.70,26.30,,Clare Davies (Office staff),Less than 250,GLAMORGAN RETAIL LIMITED,False
GLOBAL EDUCATION MANAGEMENT SYSTEMS LIMITED,"100 Hills Road,
Cambridge,
United Kingdom,
CB2 1PH",04742550,82990,34.00,44.50,91.00,95.00,1.30,1.60,21.00,79.00,36.00,64.00,27.00,73.00,36.00,64.00,,Jay Varkey (CEO),250 to 499,GLOBAL EDUCATION MANAGEMENT SYSTEMS LIMITED,False
GORKANA GROUP LIMITED,"5 Churchill Place,
Canary Wharf,
London,
United Kingdom,
E14 5HU",00874637,63120,23.80,8.20,34.50,0.00,70.00,56.00,47.00,53.00,60.00,40.00,71.00,29.00,60.00,40.00,http://www.gorkana.com/about-gorkana/cision-gender-pay-gap-report-april-2018/,Lorna Mattis (VP Human Resources EMIA),500 to 999,GORKANA GROUP LIMITED,False
Gravity Personnel,"1-3 Greyfriars Road,
Reading,
RG1 1NU",,"78109,
78200",-12.70,0.00,0.00,0.00,0.00,0.00,41.70,58.30,58.30,41.70,61.10,38.90,68.10,31.90,,Catherine Sharma (Partner),250 to 499,Gravity Personnel,False
Greater Manchester Academies Trust,"Silchester Drive,
Manchester,
M40 8NT",06754335,1,16.30,16.00,0.00,0.00,0.00,0.00,34.00,66.00,26.00,74.00,36.00,64.00,43.00,57.00,,,250 to 499,Greater Manchester Academies Trust,False
GRS ROADSTONE GROUP LIMITED,"Unit 10, Goldsmith Way,
Eliot Business Park,
Nuneaton,
Warwickshire,
CV10 7RJ",09017603,9900,21.00,16.00,26.00,88.00,32.20,67.10,58.90,41.10,67.90,32.10,82.10,17.90,81.20,18.80,http://www.grsroadstone.co.uk/about/about-grs/workforgrs,"Jon Fisher (Chief Executive Officer, GRS Group)",250 to 499,GRS ROADSTONE GROUP LIMITED,False
Grwp LLandrillo Menai,"Llandudno Road,
Rhos on Sea,
Conwy,
LL28 4HZ",,"1,
85320,
85410,
85421",6.00,9.00,0.00,0.00,0.00,0.00,33.10,66.90,35.70,64.30,29.90,70.10,56.50,43.50,https://www.gllm.ac.uk/,,1000 to 4999,Grwp LLandrillo Menai,False
GSF SANDYLIGHT LIMITED,"Unit 3, Tower Lane Industrial Estate,
Tower Lane,
Eastleigh,
Hampshire,
England,
SO50 6NZ",02193983,81299,1.60,2.30,29.60,-12.90,2.40,1.20,45.80,54.20,47.90,52.10,48.60,51.40,56.20,43.80,,Chris Illston (Assistant Accountant),250 to 499,GSF SANDYLIGHT LIMITED,False
H&H GROUP PLC,"Borderway Mart, Rosehill Estate,
Carlisle,
CA1 2RS",00036006,82990,20.70,2.90,40.70,16.70,44.00,29.00,62.00,38.00,46.00,54.00,59.00,41.00,72.00,28.00,https://hhgroupplc.co.uk/,Margaret Irving (Group Personnel Manager),250 to 499,H&H GROUP PLC,False
H. CLARKSON & COMPANY LIMITED,"Commodity Quay, St Katharine Docks,
London,
United Kingdom,
E1W 1BF",00152738,52220,35.00,36.00,82.00,64.00,90.00,86.00,58.40,41.60,63.40,36.60,80.50,19.50,88.40,11.60,https://www.clarksons.com/media/1137810/gender_pay_gap_report.pdf,John Beckwith (HR Director),250 to 499,H. CLARKSON & COMPANY LIMITED,False
